model,tau,branch,n_routed,balanced_accuracy,impostors_rejected,own_rejected,impostor_share
perslay_z_rips,0.7,clustered,51250,0.5054862019475713,0.752156150703586,0.1947582467239042,0.05002926829268293
perslay_z_rips,0.7,repulsive,25506,0.8338667168674698,0.847979797979798,0.16613328313253012,0.16694111189524033
perslay_z_rips,0.9,clustered,51250,0.47024182318461355,0.8797094870630958,0.26434704021690014,0.05002926829268293
perslay_z_rips,0.9,repulsive,25506,0.8445971385542169,0.851010101010101,0.15540286144578314,0.16694111189524033
perslay_z_alpha_diameter,0.0,clustered,51250,0.5709101556426183,0.20971402632773492,0.04518752824220515,0.05002926829268293
perslay_z_alpha_diameter,0.0,repulsive,25506,0.9493599397590361,0.3803030303030303,0.050640060240963854,0.16694111189524033
perslay_z_alpha_diameter,0.3,clustered,51250,0.5504438984856418,0.466182478438493,0.10606745265579427,0.05002926829268293
perslay_z_alpha_diameter,0.3,repulsive,25506,0.904273343373494,0.6388888888888888,0.09572665662650602,0.16694111189524033
perslay_z_alpha_diameter,0.5,clustered,51250,0.5406158194544693,0.5982750794371312,0.13083843404674855,0.05002926829268293
perslay_z_alpha_diameter,0.5,repulsive,25506,0.8905779367469879,0.703030303030303,0.10942206325301204,0.16694111189524033
perslay_z_alpha_diameter,0.7,clustered,51250,0.5064465716549543,0.7839310031774852,0.19691492420819126,0.05002926829268293
perslay_z_alpha_diameter,0.7,repulsive,25506,0.8630929969879518,0.802020202020202,0.1369070030120482,0.16694111189524033
perslay_z_alpha_diameter,0.9,clustered,51250,0.47405396349946827,0.8810712664548344,0.2569937969847595,0.05002926829268293
perslay_z_alpha_diameter,0.9,repulsive,25506,0.8284544427710844,0.8631313131313131,0.17154555722891565,0.16694111189524033
perslay_z_dtm_k5,0.0,clustered,51250,0.581259730446973,0.1793009532455742,0.028653000862670995,0.05002926829268293
perslay_z_dtm_k5,0.0,repulsive,25506,0.9440888554216867,0.31212121212121213,0.055911144578313254,0.16694111189524033
perslay_z_dtm_k5,0.3,clustered,51250,0.5731977624412329,0.49750340444847935,0.07897547549603583,0.05002926829268293
perslay_z_dtm_k5,0.3,repulsive,25506,0.9337349397590361,0.3717171717171717,0.06626506024096386,0.16694111189524033
perslay_z_dtm_k5,0.5,clustered,51250,0.5655332787649364,0.5801180208806174,0.10239083103972395,0.05002926829268293
perslay_z_dtm_k5,0.5,repulsive,25506,0.8627164909638554,0.6752525252525252,0.13728350903614459,0.16694111189524033
perslay_z_dtm_k5,0.7,clustered,51250,0.5419827915992304,0.7262823422605538,0.14739350121184736,0.05002926829268293
perslay_z_dtm_k5,0.7,repulsive,25506,0.8593279367469879,0.6707070707070707,0.14067206325301204,0.16694111189524033
perslay_z_dtm_k5,0.9,clustered,51250,0.4915922045713324,0.8896958692691784,0.2385901491188432,0.05002926829268293
perslay_z_dtm_k5,0.9,repulsive,25506,0.8581513554216867,0.6878787878787879,0.14184864457831325,0.16694111189524033
perslay_z_dtm_k10,0.0,clustered,51250,0.5896799724667469,0.17203812982296868,0.02489422010434211,0.05002926829268293
perslay_z_dtm_k10,0.0,repulsive,25506,0.9569841867469879,0.26565656565656565,0.04301581325301205,0.16694111189524033
perslay_z_dtm_k10,0.3,clustered,51250,0.5822055661841109,0.4180662732637313,0.06396089224828493,0.05002926829268293
perslay_z_dtm_k10,0.3,repulsive,25506,0.9300169427710844,0.4303030303030303,0.06998305722891567,0.16694111189524033
perslay_z_dtm_k10,0.5,clustered,51250,0.5597655827149587,0.5978211529732184,0.10658094729491024,0.05002926829268293
perslay_z_dtm_k10,0.5,repulsive,25506,0.9137801204819277,0.5080808080808081,0.08621987951807229,0.16694111189524033
perslay_z_dtm_k10,0.7,clustered,51250,0.5371344612124379,0.7217430776214253,0.14712648399950704,0.05002926829268293
perslay_z_dtm_k10,0.7,repulsive,25506,0.8766942771084337,0.6505050505050505,0.12330572289156627,0.16694111189524033
perslay_z_dtm_k10,0.9,clustered,51250,0.4827761651134667,0.9092147072174308,0.24703200098590972,0.05002926829268293
perslay_z_dtm_k10,0.9,repulsive,25506,0.8387142319277109,0.7671717171717172,0.16128576807228914,0.16694111189524033
perslay_z_dtm_k15,0.0,clustered,51250,0.5845437585554333,0.19019518837948252,0.027831409440085445,0.05002926829268293
perslay_z_dtm_k15,0.0,repulsive,25506,0.967761671686747,0.23383838383838385,0.03223832831325301,0.16694111189524033
perslay_z_dtm_k15,0.3,clustered,51250,0.5774620574542958,0.45982750794371313,0.07384052910487615,0.05002926829268293
perslay_z_dtm_k15,0.3,repulsive,25506,0.9434770331325302,0.3611111111111111,0.05652296686746988,0.16694111189524033
perslay_z_dtm_k15,0.5,clustered,51250,0.5638670787285074,0.5388107126645484,0.09181284147393501,0.05002926829268293
perslay_z_dtm_k15,0.5,repulsive,25506,0.9206984186746988,0.49646464646464644,0.0793015813253012,0.16694111189524033
perslay_z_dtm_k15,0.7,clustered,51250,0.5354369110994652,0.7326373127553336,0.1487491270591135,0.05002926829268293
perslay_z_dtm_k15,0.7,repulsive,25506,0.877917921686747,0.6702020202020202,0.12208207831325302,0.16694111189524033
perslay_z_dtm_k15,0.9,clustered,51250,0.48653852494532135,0.8901497957330913,0.23926796204247627,0.05002926829268293
perslay_z_dtm_k15,0.9,repulsive,25506,0.8654932228915663,0.7126262626262626,0.13450677710843373,0.16694111189524033
perslay_z_dtm_k20,0.0,clustered,51250,0.5822818308463468,0.19382660009078528,0.025695271741363022,0.05002926829268293
perslay_z_dtm_k20,0.0,repulsive,25506,0.9701148343373494,0.20959595959595959,0.029885165662650603,0.16694111189524033
perslay_z_dtm_k20,0.3,clustered,51250,0.5724335605246792,0.4643667725828416,0.07308055703898451,0.05002926829268293
perslay_z_dtm_k20,0.3,repulsive,25506,0.9631024096385542,0.2823232323232323,0.036897590361445784,0.16694111189524033
perslay_z_dtm_k20,0.5,clustered,51250,0.5632599209463881,0.5465274625510668,0.09308630817894262,0.05002926829268293
perslay_z_dtm_k20,0.5,repulsive,25506,0.9098268072289156,0.5429292929292929,0.09017319277108433,0.16694111189524033
perslay_z_dtm_k20,0.7,clustered,51250,0.5379003065740448,0.6827054017249206,0.13533664708540444,0.05002926829268293
perslay_z_dtm_k20,0.7,repulsive,25506,0.9048381024096386,0.5666666666666667,0.09516189759036145,0.16694111189524033
perslay_z_dtm_k20,0.9,clustered,51250,0.4921286701748331,0.8788016341352701,0.23421517479357515,0.05002926829268293
perslay_z_dtm_k20,0.9,repulsive,25506,0.8716585090361446,0.6883838383838384,0.12834149096385541,0.16694111189524033
