case_id,dv,set,family,index,cell_id,level_id,rep,spawn_key,r_seed,split,shard,nbar,mu,s,mu1,mu2,s2,rho,tau,gamma,sigma2,sp,kappa,sigma,sigma1,lam_p,R,beta,mu_log,s_abs,grid_M,delta_tilde,tau_K,tau_K2,prior_tries
dv3-train-poisson-000055,3,train,poisson,55,,,,3:0:0:55,,train,0,395.62122040649405,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000056,3,train,poisson,56,,,,3:0:0:56,,train,0,114.96176494297885,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000057,3,train,poisson,57,,,,3:0:0:57,,train,0,108.67547382267786,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000058,3,train,poisson,58,,,,3:0:0:58,,train,0,338.2285869997425,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000059,3,train,poisson,59,,,,3:0:0:59,,train,0,174.4189185578271,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000060,3,train,poisson,60,,,,3:0:0:60,,train,0,189.33021111718827,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000061,3,train,poisson,61,,,,3:0:0:61,,train,0,198.93692877881836,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000062,3,train,poisson,62,,,,3:0:0:62,,train,0,222.04185990854356,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000063,3,train,poisson,63,,,,3:0:0:63,,train,0,377.9196741133709,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000064,3,train,poisson,64,,,,3:0:0:64,,train,0,314.04650381556183,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000065,3,train,poisson,65,,,,3:0:0:65,,train,0,283.1476527035983,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000066,3,train,poisson,66,,,,3:0:0:66,,train,0,299.38679333525494,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000067,3,train,poisson,67,,,,3:0:0:67,,train,0,618.0822242128106,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000068,3,train,poisson,68,,,,3:0:0:68,,train,0,112.09610085069879,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000069,3,train,poisson,69,,,,3:0:0:69,,train,0,120.79601303318199,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000070,3,train,poisson,70,,,,3:0:0:70,,train,0,564.4908285366741,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000071,3,train,poisson,71,,,,3:0:0:71,,train,0,393.9582741264219,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000072,3,train,poisson,72,,,,3:0:0:72,,train,0,144.74957376000327,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000073,3,train,poisson,73,,,,3:0:0:73,,train,0,316.068756516094,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000074,3,train,poisson,74,,,,3:0:0:74,,train,0,119.6394212187636,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000075,3,train,poisson,75,,,,3:0:0:75,,train,0,120.70023739153275,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000076,3,train,poisson,76,,,,3:0:0:76,,train,0,229.70425563169488,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000077,3,train,poisson,77,,,,3:0:0:77,,train,0,359.6301627935626,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000078,3,train,poisson,78,,,,3:0:0:78,,train,0,120.99347371828722,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000079,3,train,poisson,79,,,,3:0:0:79,,train,0,621.4542447530616,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000080,3,train,poisson,80,,,,3:0:0:80,,train,0,336.40101783972705,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000081,3,train,poisson,81,,,,3:0:0:81,,train,0,201.39853284743435,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000082,3,train,poisson,82,,,,3:0:0:82,,train,0,218.45733613538619,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000083,3,train,poisson,83,,,,3:0:0:83,,train,0,432.93719680463045,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000084,3,train,poisson,84,,,,3:0:0:84,,train,0,521.381954278316,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000085,3,train,poisson,85,,,,3:0:0:85,,train,0,221.72603846064246,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000086,3,train,poisson,86,,,,3:0:0:86,,train,0,792.2365251114144,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000087,3,train,poisson,87,,,,3:0:0:87,,train,0,105.86223878326668,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000088,3,train,poisson,88,,,,3:0:0:88,,train,0,174.23071562464514,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000089,3,train,poisson,89,,,,3:0:0:89,,train,0,380.04845146899464,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000090,3,train,poisson,90,,,,3:0:0:90,,train,0,148.35951264278205,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000091,3,train,poisson,91,,,,3:0:0:91,,train,0,253.24589059831544,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000092,3,train,poisson,92,,,,3:0:0:92,,train,0,113.49106406977066,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000093,3,train,poisson,93,,,,3:0:0:93,,train,0,798.3409382842713,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000094,3,train,poisson,94,,,,3:0:0:94,,train,0,235.99672283973283,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000095,3,train,poisson,95,,,,3:0:0:95,,train,0,223.1660245596775,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000096,3,train,poisson,96,,,,3:0:0:96,,train,0,164.3704193194009,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000097,3,train,poisson,97,,,,3:0:0:97,,train,0,308.9553056827558,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000098,3,train,poisson,98,,,,3:0:0:98,,train,0,109.62768809572505,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000099,3,train,poisson,99,,,,3:0:0:99,,train,0,623.8028902321219,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000100,3,train,poisson,100,,,,3:0:0:100,,train,0,470.93663374584224,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000101,3,train,poisson,101,,,,3:0:0:101,,train,0,479.97006548817797,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000102,3,train,poisson,102,,,,3:0:0:102,,train,0,338.21242811264807,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000103,3,train,poisson,103,,,,3:0:0:103,,train,0,202.57756229361897,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000104,3,train,poisson,104,,,,3:0:0:104,,train,0,173.5134461980886,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000105,3,train,poisson,105,,,,3:0:0:105,,train,0,306.43291309472244,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000106,3,train,poisson,106,,,,3:0:0:106,,train,0,140.69630713427833,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000107,3,train,poisson,107,,,,3:0:0:107,,train,0,377.0930272187022,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000108,3,train,poisson,108,,,,3:0:0:108,,train,0,404.8301362868279,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000109,3,train,poisson,109,,,,3:0:0:109,,train,0,215.15443001849343,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000110,3,train,poisson,110,,,,3:0:0:110,,train,0,406.30832351710404,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000111,3,train,poisson,111,,,,3:0:0:111,,train,0,187.85350223817977,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000112,3,train,poisson,112,,,,3:0:0:112,,train,0,232.00136494193364,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000113,3,train,poisson,113,,,,3:0:0:113,,train,0,661.8223776498844,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000114,3,train,poisson,114,,,,3:0:0:114,,train,0,313.4954695263622,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000115,3,train,poisson,115,,,,3:0:0:115,,train,0,673.940090113655,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000116,3,train,poisson,116,,,,3:0:0:116,,train,0,256.52978707418384,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000117,3,train,poisson,117,,,,3:0:0:117,,train,0,648.7491816364786,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000118,3,train,poisson,118,,,,3:0:0:118,,train,0,770.3856959108555,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000119,3,train,poisson,119,,,,3:0:0:119,,train,0,258.2896112813043,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000120,3,train,poisson,120,,,,3:0:0:120,,train,0,689.3599207758688,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000121,3,train,poisson,121,,,,3:0:0:121,,train,0,227.8057406253831,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000122,3,train,poisson,122,,,,3:0:0:122,,train,0,245.86390345009042,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000123,3,train,poisson,123,,,,3:0:0:123,,train,0,629.2564089844046,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000124,3,train,poisson,124,,,,3:0:0:124,,train,0,185.00726786195085,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000125,3,train,poisson,125,,,,3:0:0:125,,train,0,114.60905961700291,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000126,3,train,poisson,126,,,,3:0:0:126,,train,0,182.10465148358472,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000127,3,train,poisson,127,,,,3:0:0:127,,train,0,182.31825785744255,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000128,3,train,poisson,128,,,,3:0:0:128,,train,0,362.94001239851457,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000129,3,train,poisson,129,,,,3:0:0:129,,train,0,252.0053074344483,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000130,3,train,poisson,130,,,,3:0:0:130,,train,0,185.7312390861659,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000131,3,train,poisson,131,,,,3:0:0:131,,train,0,105.64778209672217,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000132,3,train,poisson,132,,,,3:0:0:132,,train,0,233.70899788257523,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000133,3,train,poisson,133,,,,3:0:0:133,,train,0,592.782523252085,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000134,3,train,poisson,134,,,,3:0:0:134,,train,0,221.33573419080102,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000135,3,train,poisson,135,,,,3:0:0:135,,train,0,710.0268481476336,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000136,3,train,poisson,136,,,,3:0:0:136,,train,0,715.8083066944805,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000137,3,train,poisson,137,,,,3:0:0:137,,train,0,410.59231164738026,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000138,3,train,poisson,138,,,,3:0:0:138,,train,0,667.9851687753877,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000139,3,train,poisson,139,,,,3:0:0:139,,train,0,345.6154656901348,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000140,3,train,poisson,140,,,,3:0:0:140,,train,0,122.99053626490175,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000141,3,train,poisson,141,,,,3:0:0:141,,train,0,227.3474659643564,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000142,3,train,poisson,142,,,,3:0:0:142,,train,0,476.8136440385809,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000143,3,train,poisson,143,,,,3:0:0:143,,train,0,340.94173145743866,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000144,3,train,poisson,144,,,,3:0:0:144,,train,0,568.8441021783314,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000145,3,train,poisson,145,,,,3:0:0:145,,train,0,516.6708415712275,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000146,3,train,poisson,146,,,,3:0:0:146,,train,0,315.6828701307954,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000147,3,train,poisson,147,,,,3:0:0:147,,train,0,424.42160239685666,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000148,3,train,poisson,148,,,,3:0:0:148,,train,0,313.3513680406645,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000149,3,train,poisson,149,,,,3:0:0:149,,train,0,153.29601787315505,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000150,3,train,poisson,150,,,,3:0:0:150,,train,0,603.9368685612684,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000151,3,train,poisson,151,,,,3:0:0:151,,train,0,603.1789285459064,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000152,3,train,poisson,152,,,,3:0:0:152,,train,0,368.6120899402006,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000153,3,train,poisson,153,,,,3:0:0:153,,train,0,497.91091685534434,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000154,3,train,poisson,154,,,,3:0:0:154,,train,0,572.08744537896,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000155,3,train,poisson,155,,,,3:0:0:155,,train,0,281.35853744334713,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000156,3,train,poisson,156,,,,3:0:0:156,,train,0,587.6331775661155,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000157,3,train,poisson,157,,,,3:0:0:157,,train,0,583.3723462596952,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000158,3,train,poisson,158,,,,3:0:0:158,,train,0,186.08529236141104,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000159,3,train,poisson,159,,,,3:0:0:159,,train,0,682.0437396868623,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000160,3,train,poisson,160,,,,3:0:0:160,,train,0,151.0306673629235,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000161,3,train,poisson,161,,,,3:0:0:161,,train,0,391.2627690330793,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000162,3,train,poisson,162,,,,3:0:0:162,,train,0,316.82887731953014,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000163,3,train,poisson,163,,,,3:0:0:163,,train,0,244.56336083593894,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000164,3,train,poisson,164,,,,3:0:0:164,,train,0,561.2280796697834,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000165,3,train,poisson,165,,,,3:0:0:165,,train,0,126.98257300994227,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000166,3,train,poisson,166,,,,3:0:0:166,,train,0,557.9917164626446,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000167,3,train,poisson,167,,,,3:0:0:167,,train,0,411.7705869429667,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000168,3,train,poisson,168,,,,3:0:0:168,,train,0,559.0409362912276,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000169,3,train,poisson,169,,,,3:0:0:169,,train,0,101.46338263233676,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000170,3,train,poisson,170,,,,3:0:0:170,,train,0,621.0499167444135,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000171,3,train,poisson,171,,,,3:0:0:171,,train,0,104.50227089379295,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000172,3,train,poisson,172,,,,3:0:0:172,,train,0,184.82184840199872,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000173,3,train,poisson,173,,,,3:0:0:173,,train,0,120.83705027840999,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000174,3,train,poisson,174,,,,3:0:0:174,,train,0,147.76667471954391,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000175,3,train,poisson,175,,,,3:0:0:175,,train,0,140.77340908135193,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000176,3,train,poisson,176,,,,3:0:0:176,,train,0,334.2933566364779,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000177,3,train,poisson,177,,,,3:0:0:177,,train,0,230.66316231239443,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000178,3,train,poisson,178,,,,3:0:0:178,,train,0,502.451661066767,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000179,3,train,poisson,179,,,,3:0:0:179,,train,0,287.1748101312137,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000180,3,train,poisson,180,,,,3:0:0:180,,train,0,235.59319461265446,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000181,3,train,poisson,181,,,,3:0:0:181,,train,0,262.2119335594692,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000182,3,train,poisson,182,,,,3:0:0:182,,train,0,141.0964369920935,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000183,3,train,poisson,183,,,,3:0:0:183,,train,0,199.05276845704972,,,,,,,,,,,,,,,,,,,,0.0,,,1
dv3-train-poisson-000184,3,train,poisson,184,,,,3:0:0:184,,train,0,114.71682377981851,,,,,,,,,,,,,,,,,,,,0.0,,,1
